city,avg_temp
San Jose,14.12
San Jose,13.8
San Jose,14.39
San Jose,13.81
San Jose,14.4
San Jose,13.98
San Jose,14.2
San Jose,14.1
San Jose,14.78
San Jose,14.19
San Jose,13.71
San Jose,13.81
San Jose,14.88
San Jose,14.43
San Jose,14.43
San Jose,15.18
San Jose,14.32
San Jose,14.67
San Jose,14.46
San Jose,14.25
San Jose,14.57
San Jose,14.19
San Jose,14.34
San Jose,14.63
San Jose,14.46
San Jose,14.09
San Jose,14.76
San Jose,14.44
San Jose,15.03
San Jose,14.37
San Jose,14.2
San Jose,13.22
San Jose,14.39
San Jose,13.58
San Jose,13.93
San Jose,14.05
San Jose,15.05
San Jose,14.58
San Jose,14.38
San Jose,14.7
San Jose,14.81
San Jose,14.05
San Jose,14.46
San Jose,14.05
San Jose,13.4
San Jose,13.8
San Jose,13.95
San Jose,14.22
San Jose,13.81
San Jose,13.77
San Jose,14.04
San Jose,14.64
San Jose,14.34
San Jose,14.07
San Jose,14.12
San Jose,14.5
San Jose,14.39
San Jose,14.81
San Jose,14.34
San Jose,14.01
San Jose,14.05
San Jose,14.17
San Jose,13.46
San Jose,13.95
San Jose,14.38
San Jose,14.33
San Jose,14.3
San Jose,13.61
San Jose,14.06
San Jose,14.14
San Jose,13.6
San Jose,13.72
San Jose,14.24
San Jose,13.61
San Jose,14.13
San Jose,14.1
San Jose,14.34
San Jose,15.14
San Jose,14.24
San Jose,14.32
San Jose,14.25
San Jose,14.25
San Jose,14.93
San Jose,14.24
San Jose,13.93
San Jose,15.31
San Jose,14.12
San Jose,15.13
San Jose,14.36
San Jose,14.35
San Jose,14.81
San Jose,15.12
San Jose,14.98
San Jose,14.2
San Jose,14.72
San Jose,14.17
San Jose,14.41
San Jose,13.83
San Jose,14.51
San Jose,13.65
San Jose,13.9
San Jose,14.66
San Jose,14.06
San Jose,14.11
San Jose,14.42
San Jose,14.18
San Jose,13.74
San Jose,14.08
San Jose,14.59
San Jose,15.41
San Jose,15.39
San Jose,14.59
San Jose,14.65
San Jose,14.22
San Jose,14.19
San Jose,14.24
San Jose,14.14
San Jose,14.74
San Jose,14.5
San Jose,14.66
San Jose,14.51
San Jose,14.76
San Jose,13.89
San Jose,14.25
San Jose,14.58
San Jose,14.41
San Jose,13.82
San Jose,14.72
San Jose,14.63
San Jose,14.96
San Jose,14.99
San Jose,14.74
San Jose,15.22
San Jose,14
San Jose,15.07
San Jose,14.97
San Jose,14.23
San Jose,15
San Jose,14.95
San Jose,15.08
San Jose,14.45
San Jose,14.73
San Jose,14.5
San Jose,15.53
San Jose,14.97
San Jose,14.21
San Jose,15.31
San Jose,15.56
San Jose,15.75
San Jose,14.38
San Jose,14.41
San Jose,15.02
San Jose,15.25
San Jose,15
San Jose,15.43
San Jose,15.37
San Jose,15.17
San Jose,15.02
San Jose,14.94
San Jose,15.05
San Jose,15.02
San Jose,14.67
San Jose,14.5
San Jose,15.05
San Jose,16.23